draw,key,area,balanced_accuracy,accuracy,n_audit,stat,audit_estimate,full_estimate,unsafe_full,flag_audit,flag_ba
0,selection|Qwen/Qwen2.5-7B-Instruct|a,selection,0.8358,0.9683,600,delta_pp:1,-0.3157,-0.401,False,False,False
0,selection|allenai/OLMo-2-1124-7B-Instruct|a,selection,0.7584,0.9333,600,delta_pp:1,0.9854,-0.8898,False,False,True
0,selection|ibm-granite/granite-3.3-8b-instruct|a,selection,0.9434,0.9767,600,delta_pp:1,0.2789,0.9105,False,False,False
0,selection|microsoft/Phi-3.5-mini-instruct|a,selection,0.84,0.9483,600,delta_pp:1,0.346,1.8188,True,False,False
0,selection|Qwen/Qwen2.5-7B-Instruct|b,selection,0.8853,0.9783,600,delta_pp:1,-1.1303,-0.5102,False,True,False
0,selection|allenai/OLMo-2-1124-7B-Instruct|b,selection,0.8226,0.9433,600,delta_pp:1,3.4044,0.3366,False,True,False
0,selection|ibm-granite/granite-3.3-8b-instruct|b,selection,0.9234,0.9667,600,delta_pp:1,1.6895,1.8088,True,True,False
0,selection|microsoft/Phi-3.5-mini-instruct|b,selection,0.8763,0.9333,600,delta_pp:1,1.8659,2.3681,True,True,False
0,selection|Qwen/Qwen2.5-7B-Instruct|c,selection,0.8055,0.9667,600,delta_pp:1,0.1457,-0.384,False,False,False
0,selection|allenai/OLMo-2-1124-7B-Instruct|c,selection,0.8209,0.94,600,delta_pp:1,2.7481,1.2233,True,True,False
0,selection|ibm-granite/granite-3.3-8b-instruct|c,selection,0.8644,0.9667,600,delta_pp:1,1.2591,1.1876,True,True,False
0,selection|microsoft/Phi-3.5-mini-instruct|c,selection,0.8779,0.9083,600,delta_pp:1,3.5134,3.7391,True,True,False
1,selection|Qwen/Qwen2.5-7B-Instruct|a,selection,0.8527,0.9717,600,delta_pp:1,-0.4869,-0.401,False,False,False
1,selection|allenai/OLMo-2-1124-7B-Instruct|a,selection,0.791,0.9183,600,delta_pp:1,1.5735,-0.8898,False,True,True
1,selection|ibm-granite/granite-3.3-8b-instruct|a,selection,0.863,0.95,600,delta_pp:1,2.3945,0.9105,False,True,False
1,selection|microsoft/Phi-3.5-mini-instruct|a,selection,0.7972,0.93,600,delta_pp:1,1.1672,1.8188,True,True,True
1,selection|Qwen/Qwen2.5-7B-Instruct|b,selection,0.8491,0.965,600,delta_pp:1,-1.1076,-0.5102,False,True,False
1,selection|allenai/OLMo-2-1124-7B-Instruct|b,selection,0.8148,0.9217,600,delta_pp:1,1.9736,0.3366,False,True,False
1,selection|ibm-granite/granite-3.3-8b-instruct|b,selection,0.8797,0.94,600,delta_pp:1,3.5231,1.8088,True,True,False
1,selection|microsoft/Phi-3.5-mini-instruct|b,selection,0.8047,0.9233,600,delta_pp:1,1.7422,2.3681,True,True,False
1,selection|Qwen/Qwen2.5-7B-Instruct|c,selection,0.8509,0.9683,600,delta_pp:1,-1.1088,-0.384,False,True,False
1,selection|allenai/OLMo-2-1124-7B-Instruct|c,selection,0.7954,0.9267,600,delta_pp:1,3.1783,1.2233,True,True,True
1,selection|ibm-granite/granite-3.3-8b-instruct|c,selection,0.8318,0.9533,600,delta_pp:1,2.7459,1.1876,True,True,False
1,selection|microsoft/Phi-3.5-mini-instruct|c,selection,0.7957,0.9067,600,delta_pp:1,-0.7842,3.7391,True,False,True
2,selection|Qwen/Qwen2.5-7B-Instruct|a,selection,0.9004,0.9783,600,delta_pp:1,-1.5521,-0.401,False,True,False
2,selection|allenai/OLMo-2-1124-7B-Instruct|a,selection,0.8795,0.9383,600,delta_pp:1,-1.2891,-0.8898,False,True,False
2,selection|ibm-granite/granite-3.3-8b-instruct|a,selection,0.9658,0.9683,600,delta_pp:1,-0.361,0.9105,False,False,False
2,selection|microsoft/Phi-3.5-mini-instruct|a,selection,0.9006,0.945,600,delta_pp:1,-0.2225,1.8188,True,False,False
2,selection|Qwen/Qwen2.5-7B-Instruct|b,selection,0.8996,0.9767,600,delta_pp:1,-1.8728,-0.5102,False,True,False
2,selection|allenai/OLMo-2-1124-7B-Instruct|b,selection,0.8575,0.93,600,delta_pp:1,-0.7434,0.3366,False,False,False
2,selection|ibm-granite/granite-3.3-8b-instruct|b,selection,0.9252,0.9583,600,delta_pp:1,0.137,1.8088,True,False,False
2,selection|microsoft/Phi-3.5-mini-instruct|b,selection,0.9113,0.9317,600,delta_pp:1,1.639,2.3681,True,True,False
2,selection|Qwen/Qwen2.5-7B-Instruct|c,selection,0.8828,0.9783,600,delta_pp:1,-1.9993,-0.384,False,True,False
2,selection|allenai/OLMo-2-1124-7B-Instruct|c,selection,0.8265,0.9383,600,delta_pp:1,-0.6975,1.2233,True,False,False
2,selection|ibm-granite/granite-3.3-8b-instruct|c,selection,0.934,0.975,600,delta_pp:1,-1.2991,1.1876,True,True,False
2,selection|microsoft/Phi-3.5-mini-instruct|c,selection,0.8982,0.9067,600,delta_pp:1,3.4616,3.7391,True,True,False
3,selection|Qwen/Qwen2.5-7B-Instruct|a,selection,0.9401,0.9867,600,delta_pp:1,0.7952,-0.401,False,False,False
3,selection|allenai/OLMo-2-1124-7B-Instruct|a,selection,0.7631,0.9183,600,delta_pp:1,0.8081,-0.8898,False,False,True
3,selection|ibm-granite/granite-3.3-8b-instruct|a,selection,0.9534,0.9783,600,delta_pp:1,1.8007,0.9105,False,True,False
