draw,key,stat,estimate,boot_var,lo,hi,balanced_accuracy,area,full_estimate,unsafe_full,decision,ba_unsafe
0,economic|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:1,-4.3293,14.5537,-9.991,1.5148,0.7568,economic,2.9395,False,abstain,True
0,economic|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:2,-8.8985,14.8489,-14.7257,-1.9252,0.7568,economic,-0.6952,False,abstain,True
0,economic|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:1,-6.8894,10.4757,-11.9149,-1.0915,0.8023,economic,2.3605,False,abstain,False
0,economic|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:2,-2.7162,12.2689,-7.3075,3.6933,0.8023,economic,1.8843,False,abstain,False
0,economic|microsoft/Phi-3.5-mini-instruct|a,delta_pp:1,0.2923,13.0994,-6.4612,5.2976,0.7599,economic,3.6188,True,abstain,True
0,economic|microsoft/Phi-3.5-mini-instruct|a,delta_pp:2,1.4265,12.8461,-3.811,7.8228,0.7599,economic,3.0648,True,abstain,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|a,delta_pp:1,2.9133,14.0302,-3.8246,8.2692,0.7631,economic,4.9661,True,abstain,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|a,delta_pp:2,1.4475,11.2833,-3.3399,6.9784,0.7631,economic,1.7355,False,abstain,True
0,economic|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:1,-0.9754,12.246,-7.8844,4.5558,0.8108,economic,2.0905,False,abstain,False
0,economic|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:2,-1.6261,14.2059,-8.3831,4.3095,0.8108,economic,1.5207,False,abstain,False
0,economic|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:1,1.6381,10.6689,-3.4914,7.5215,0.7545,economic,4.5829,True,abstain,True
0,economic|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:2,1.3505,10.3958,-3.3458,7.3952,0.7545,economic,0.4632,False,abstain,True
0,economic|microsoft/Phi-3.5-mini-instruct|b,delta_pp:1,-0.2031,11.3383,-6.7111,4.2772,0.7273,economic,4.3086,True,abstain,True
0,economic|microsoft/Phi-3.5-mini-instruct|b,delta_pp:2,0.7114,13.8959,-4.2377,6.8604,0.7273,economic,2.6269,False,abstain,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|b,delta_pp:1,3.5065,7.1502,-1.4826,7.1931,0.7127,economic,5.5371,True,abstain,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|b,delta_pp:2,-1.1169,8.1679,-5.2309,4.0724,0.7127,economic,1.9056,False,abstain,True
0,economic|Qwen/Qwen2.5-7B-Instruct|c,delta_pp:1,0.4203,12.493,-4.6672,6.2477,0.7352,economic,1.7575,False,abstain,True
0,economic|Qwen/Qwen2.5-7B-Instruct|c,delta_pp:2,-2.8544,16.5098,-9.1436,3.874,0.7352,economic,-0.493,False,abstain,True
0,economic|ibm-granite/granite-3.3-8b-instruct|c,delta_pp:1,-6.2689,13.1072,-12.7257,-0.0509,0.7471,economic,2.1823,False,abstain,True
0,economic|ibm-granite/granite-3.3-8b-instruct|c,delta_pp:2,-4.3724,15.2422,-10.2293,1.2692,0.7471,economic,0.6399,False,abstain,True
0,economic|microsoft/Phi-3.5-mini-instruct|c,delta_pp:1,3.4263,9.5839,-2.9241,8.2048,0.7298,economic,2.9806,False,abstain,True
0,economic|microsoft/Phi-3.5-mini-instruct|c,delta_pp:2,6.3714,13.1168,0.7161,11.1382,0.7298,economic,1.939,False,abstain,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|c,delta_pp:1,1.2594,11.7206,-4.6899,5.9848,0.7,economic,5.1812,True,abstain,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|c,delta_pp:2,-1.2702,13.5564,-6.8712,4.6731,0.7,economic,-0.0559,False,abstain,True
1,economic|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:1,1.2786,13.1816,-4.9422,7.11,0.7196,economic,2.9395,False,abstain,True
1,economic|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:2,-2.4851,17.3495,-8.6436,5.924,0.7196,economic,-0.6952,False,abstain,True
1,economic|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:1,-0.3178,16.0493,-7.4564,5.8003,0.7666,economic,2.3605,False,abstain,True
1,economic|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:2,0.956,10.879,-3.8261,6.9351,0.7666,economic,1.8843,False,abstain,True
1,economic|microsoft/Phi-3.5-mini-instruct|a,delta_pp:1,0.6501,15.102,-6.5703,6.9707,0.74,economic,3.6188,True,abstain,True
1,economic|microsoft/Phi-3.5-mini-instruct|a,delta_pp:2,3.685,10.7543,-1.3116,9.0386,0.74,economic,3.0648,True,abstain,True
1,economic|mistralai/Mistral-7B-Instruct-v0.3|a,delta_pp:1,6.9414,13.4829,0.4817,11.9623,0.7425,economic,4.9661,True,abstain,True
1,economic|mistralai/Mistral-7B-Instruct-v0.3|a,delta_pp:2,5.6949,13.0823,-0.1797,11.0008,0.7425,economic,1.7355,False,abstain,True
1,economic|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:1,1.0201,11.4867,-4.7008,6.691,0.7744,economic,2.0905,False,abstain,True
1,economic|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:2,4.0217,12.6845,-1.6611,9.8152,0.7744,economic,1.5207,False,abstain,True
1,economic|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:1,3.2937,11.9543,-3.072,9.4545,0.7445,economic,4.5829,True,abstain,True
1,economic|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:2,2.0776,12.1882,-3.7696,7.2236,0.7445,economic,0.4632,False,abstain,True
1,economic|microsoft/Phi-3.5-mini-instruct|b,delta_pp:1,3.9039,14.4525,-3.023,9.8208,0.6986,economic,4.3086,True,abstain,True
1,economic|microsoft/Phi-3.5-mini-instruct|b,delta_pp:2,5.2708,13.6864,-1.4267,11.3527,0.6986,economic,2.6269,False,abstain,True
1,economic|mistralai/Mistral-7B-Instruct-v0.3|b,delta_pp:1,2.2296,10.5157,-2.4272,7.4771,0.6877,economic,5.5371,True,abstain,True
1,economic|mistralai/Mistral-7B-Instruct-v0.3|b,delta_pp:2,2.1886,8.2935,-1.9982,6.9192,0.6877,economic,1.9056,False,abstain,True
1,economic|Qwen/Qwen2.5-7B-Instruct|c,delta_pp:1,2.927,13.9683,-1.9789,8.7168,0.7108,economic,1.7575,False,abstain,True
1,economic|Qwen/Qwen2.5-7B-Instruct|c,delta_pp:2,-3.2311,11.3965,-6.8455,3.5337,0.7108,economic,-0.493,False,abstain,True
1,economic|ibm-granite/granite-3.3-8b-instruct|c,delta_pp:1,4.2379,13.8371,-1.8149,8.916,0.7011,economic,2.1823,False,abstain,True
1,economic|ibm-granite/granite-3.3-8b-instruct|c,delta_pp:2,3.2996,14.0471,-3.6079,8.7975,0.7011,economic,0.6399,False,abstain,True
1,economic|microsoft/Phi-3.5-mini-instruct|c,delta_pp:1,2.9422,11.2339,-1.8068,8.9491,0.727,economic,2.9806,False,abstain,True
1,economic|microsoft/Phi-3.5-mini-instruct|c,delta_pp:2,7.864,14.9267,1.4848,14.6868,0.727,economic,1.939,False,abstain,True
1,economic|mistralai/Mistral-7B-Instruct-v0.3|c,delta_pp:1,6.897,12.4091,1.4849,12.458,0.7124,economic,5.1812,True,abstain,True
1,economic|mistralai/Mistral-7B-Instruct-v0.3|c,delta_pp:2,-0.2309,11.9633,-6.5047,4.1401,0.7124,economic,-0.0559,False,abstain,True
2,economic|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:1,1.8826,11.1929,-2.3952,8.2016,0.7394,economic,2.9395,False,abstain,True
2,economic|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:2,-6.4456,11.216,-11.2874,-0.7783,0.7394,economic,-0.6952,False,abstain,True
2,economic|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:1,-4.6866,12.6129,-11.4217,1.3508,0.7982,economic,2.3605,False,abstain,True
2,economic|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:2,1.8714,13.4628,-4.0554,7.9403,0.7982,economic,1.8843,False,abstain,True
2,economic|microsoft/Phi-3.5-mini-instruct|a,delta_pp:1,2.0379,10.7463,-4.0891,6.2707,0.776,economic,3.6188,True,abstain,True
2,economic|microsoft/Phi-3.5-mini-instruct|a,delta_pp:2,-0.0481,10.6675,-5.691,4.7353,0.776,economic,3.0648,True,abstain,True
2,economic|mistralai/Mistral-7B-Instruct-v0.3|a,delta_pp:1,4.4368,9.5948,-1.1933,8.2068,0.758,economic,4.9661,True,abstain,True
2,economic|mistralai/Mistral-7B-Instruct-v0.3|a,delta_pp:2,-1.5761,11.5695,-6.7358,3.2342,0.758,economic,1.7355,False,abstain,True
2,economic|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:1,1.4855,8.783,-3.447,6.205,0.8243,economic,2.0905,False,abstain,False
2,economic|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:2,-2.4583,11.3468,-7.9047,2.6021,0.8243,economic,1.5207,False,abstain,False
2,economic|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:1,3.8178,12.6205,-2.661,8.7822,0.747,economic,4.5829,True,abstain,True
2,economic|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:2,-0.062,10.6325,-6.0461,3.9648,0.747,economic,0.4632,False,abstain,True
2,economic|microsoft/Phi-3.5-mini-instruct|b,delta_pp:1,4.054,8.9935,-1.1204,8.3343,0.6974,economic,4.3086,True,abstain,True
2,economic|microsoft/Phi-3.5-mini-instruct|b,delta_pp:2,-0.9684,12.4633,-6.498,5.4198,0.6974,economic,2.6269,False,abstain,True
2,economic|mistralai/Mistral-7B-Instruct-v0.3|b,delta_pp:1,1.7257,6.0794,-2.1145,5.6495,0.6984,economic,5.5371,True,abstain,True
2,economic|mistralai/Mistral-7B-Instruct-v0.3|b,delta_pp:2,-2.9441,6.2328,-7.2152,1.3621,0.6984,economic,1.9056,False,abstain,True
2,economic|Qwen/Qwen2.5-7B-Instruct|c,delta_pp:1,0.9148,13.0016,-3.8096,6.8669,0.7333,economic,1.7575,False,abstain,True
2,economic|Qwen/Qwen2.5-7B-Instruct|c,delta_pp:2,-0.5588,12.3256,-6.3262,4.8748,0.7333,economic,-0.493,False,abstain,True
2,economic|ibm-granite/granite-3.3-8b-instruct|c,delta_pp:1,0.5922,11.3435,-4.162,5.5243,0.7307,economic,2.1823,False,abstain,True
2,economic|ibm-granite/granite-3.3-8b-instruct|c,delta_pp:2,3.7221,12.4453,-2.4105,9.3928,0.7307,economic,0.6399,False,abstain,True
2,economic|microsoft/Phi-3.5-mini-instruct|c,delta_pp:1,-1.0434,12.1028,-6.9263,4.0105,0.7262,economic,2.9806,False,abstain,True
2,economic|microsoft/Phi-3.5-mini-instruct|c,delta_pp:2,2.3529,15.035,-3.8071,7.9118,0.7262,economic,1.939,False,abstain,True
2,economic|mistralai/Mistral-7B-Instruct-v0.3|c,delta_pp:1,2.9969,13.504,-3.1341,8.24,0.7113,economic,5.1812,True,abstain,True
2,economic|mistralai/Mistral-7B-Instruct-v0.3|c,delta_pp:2,-1.8047,12.3587,-7.1797,3.2303,0.7113,economic,-0.0559,False,abstain,True
3,economic|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:1,-0.6984,13.1736,-6.3422,5.0983,0.7244,economic,2.9395,False,abstain,True
