delta,n,criterion,mean,se
0.0,50,accuracy,0.00972,0.00028
0.0,50,f1,0.00875,0.00027
0.0,50,balanced_accuracy,0.00818,0.00024
0.0,50,eav_plugin_naive,0.02027,0.00042
0.0,50,eav_plugin,0.03483,0.00051
0.0,50,eav_structural,0.01106,0.00031
0.0,50,eff:accuracy,0.14956,0.00416
0.0,50,eff:balanced_accuracy,0.18492,0.00457
0.0,50,eff:eav_efficiency,0.19912,0.00472
0.0,50,random,0.0255,0.00047
0.0,100,accuracy,0.00723,0.00023
0.0,100,f1,0.00619,0.0002
0.0,100,balanced_accuracy,0.00513,0.00017
0.0,100,eav_plugin_naive,0.02006,0.00042
0.0,100,eav_plugin,0.03528,0.0005
0.0,100,eav_structural,0.00748,0.00025
0.0,100,eff:accuracy,0.09711,0.00327
0.0,100,eff:balanced_accuracy,0.13696,0.00388
0.0,100,eff:eav_efficiency,0.15794,0.00427
0.0,100,random,0.02497,0.00047
0.0,200,accuracy,0.00634,0.0002
0.0,200,f1,0.00459,0.00016
0.0,200,balanced_accuracy,0.003,0.00012
0.0,200,eav_plugin_naive,0.01813,0.0004
0.0,200,eav_plugin,0.03342,0.00049
0.0,200,eav_structural,0.0047,0.0002
0.0,200,eff:accuracy,0.06653,0.00258
0.0,200,eff:balanced_accuracy,0.10349,0.00336
0.0,200,eff:eav_efficiency,0.12609,0.00376
0.0,200,random,0.02568,0.00047
0.0,400,accuracy,0.0053,0.00019
0.0,400,f1,0.00361,0.00014
0.0,400,balanced_accuracy,0.0017,8e-05
0.0,400,eav_plugin_naive,0.01668,0.00039
0.0,400,eav_plugin,0.02921,0.00046
0.0,400,eav_structural,0.00317,0.00016
0.0,400,eff:accuracy,0.0443,0.00199
0.0,400,eff:balanced_accuracy,0.07956,0.00293
0.0,400,eff:eav_efficiency,0.07936,0.00288
0.0,400,random,0.02508,0.00047
0.0,800,accuracy,0.00499,0.00018
0.0,800,f1,0.00288,0.00012
0.0,800,balanced_accuracy,0.00088,5e-05
0.0,800,eav_plugin_naive,0.0133,0.00034
0.0,800,eav_plugin,0.02178,0.00042
0.0,800,eav_structural,0.00182,0.00011
0.0,800,eff:accuracy,0.03069,0.00154
